BOM_CMPNTS_ID;PRDCT;CMPNT;CMPNT_DSCR;CMPNT_BRTT_QTY;CMPNT_BRTT_QTY_UNT;PRDCT_BASE_QTY;PRDCT_TARG_QTY;CMPNT_RQRD_QTY;CMPNT_STCK_UNRS;CMPNT_STCK_RSTR;CMPNT_STCK_TRNS;CMPNT_STCK_QINS;CMPNT_STCK_BLCK;CMPNT_STCK_RTRN;CMPNT_STCK_TOT;CAN_BE_PRODUCED_UNRS;CAN_BE_PRODUCED_UNRS_QINS
1050075;10009882;1902431;Component 1902431;3000.00;KOM;1000.00;1000.00;3000.00;21134.00;0.00;0.00;0.00;0.00;0.00;21134.00;7044.66;7044.66
1050076;10009882;70020807;Component 70020807;1.02;TKO;1000.00;1000.00;1.02;0.00;0.00;0.00;0.00;0.40;0.00;0.40;0.00;0.00
1050077;10009882;700541;Component 700541;0.17;TKO;1000.00;1000.00;0.17;45.38;0.00;0.00;0.00;0.00;0.00;45.38;266994.11;266994.11
1050078;10009882;745282;Component 745282;100.51;M;1000.00;1000.00;100.51;27196.00;0.00;0.00;0.00;0.00;0.00;27196.00;270580.04;270580.04
1050079;10009882;745395;Component 745395;0.45;KG;1000.00;1000.00;0.45;783.01;0.00;0.00;0.00;0.00;0.00;783.01;1705921.56;1705921.56
1050080;10009882;746896;Component 746896;3.06;KG;1000.00;1000.00;3.06;39.80;0.00;0.00;0.00;0.00;0.00;39.80;13006.53;13006.53
1050081;10009882;795355;Component 795355;0.08;TKO;1000.00;1000.00;0.08;0.16;0.00;0.00;0.00;0.00;0.00;0.16;1882.35;1882.35
1050082;10009887;700541;Component 700541;0.03;TKO;1000.00;1000.00;0.03;45.38;0.00;0.00;0.00;0.00;0.00;45.38;1194447.36;1194447.36
1050083;10009887;745280;Component 745280;25.30;M;1000.00;1000.00;25.30;26994.00;0.00;0.00;0.00;0.00;0.00;26994.00;1066956.52;1066956.52
1050084;10009887;745395;Component 745395;0.10;KG;1000.00;1000.00;0.10;783.01;0.00;0.00;0.00;0.00;0.00;783.01;7676647.05;7676647.05
1050085;10009887;795149;Component 795149;0.17;TKO;1000.00;1000.00;0.17;26.66;0.00;0.00;0.00;0.00;0.00;26.66;156835.29;156835.29
1050122;10009895;795737;Component 795737;0.04;KOM;1000.00;1000.00;0.04;19.94;0.00;0.00;0.00;0.00;0.00;19.94;486365.85;486365.85
1050123;10009896;1902423;Component 1902423;3000.00;KOM;1000.00;1000.00;3000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1050124;10009896;70020815;Component 70020815;1.02;TKO;1000.00;1000.00;1.02;0.00;0.00;0.00;0.00;8.50;0.00;8.50;0.00;0.00
