PRDCTS_ID;PRDCT;PRDCT_DSCR;PRDCT_BASE_QTY;PRDCT_BASE_QTY_UNT
61128;1903691;Product 1903691;1000.00;KOM
61129;1903641;Product 1903641;1000.00;KOM
61130;1903659;Product 1903659;1000.00;KOM
61131;1903667;Product 1903667;1000.00;KOM
61132;1903675;Product 1903675;1000.00;KOM
61133;10010134;Product 10010134;1000.00;KOM
61134;10010133;Product 10010133;1000.00;KOM
61135;10010230;Product 10010230;1000.00;KOM
61136;1902148;Product 1902148;1000.00;KOM
61137;10010371;Product 10010371;1000.00;KOM
61138;10010373;Product 10010373;1000.00;KOM
61139;10010372;Product 10010372;1000.00;KOM
61140;10010374;Product 10010374;1000.00;KOM
61141;10010256;Product 10010256;1000.00;KOM
61142;1902946;Product 1902946;1000.00;KOM
61143;1905058;Product 1905058;1000.00;KOM
61144;10010205;Product 10010205;1000.00;KOM
61145;10010206;Product 10010206;1000.00;KOM
61146;10010080;Product 10010080;1000.00;KOM
61147;10010029;Product 10010029;1000.00;KOM
61148;10010082;Product 10010082;1000.00;KOM
61149;10010027;Product 10010027;1000.00;KOM
61150;10010081;Product 10010081;1000.00;KOM
61151;10010028;Product 10010028;1000.00;KOM
61152;10010021;Product 10010021;1000.00;KOM
61153;10010026;Product 10010026;1000.00;KOM
61154;10010042;Product 10010042;1000.00;KOM
61155;10010025;Product 10010025;1000.00;KOM
61156;10010195;Product 10010195;1000.00;KOM
61157;10009932;Product 10009932;1000.00;KOM
61158;1904388;Product 1904388;1000.00;KOM
61159;1179349;Product 1179349;1000.00;KOM
61160;1904370;Product 1904370;1000.00;KOM
61161;1904736;Product 1904736;1000.00;KOM
61162;1904680;Product 1904680;1000.00;KOM
61163;10010051;Product 10010051;1000.00;KOM
61164;10010098;Product 10010098;1000.00;KOM
61165;1904701;Product 1904701;1000.00;KOM
61166;1904973;Product 1904973;1000.00;KOM
61167;1904710;Product 1904710;1000.00;KOM
61168;1904728;Product 1904728;1000.00;KOM
61169;1904698;Product 1904698;1000.00;KOM
61170;1904965;Product 1904965;1000.00;KOM
61171;10010212;Product 10010212;1000.00;KOM
61172;10010066;Product 10010066;1000.00;KOM
61173;10010067;Product 10010067;1000.00;KOM
61174;1224425;Product 1224425;1000.00;KOM
61175;10009912;Product 10009912;1000.00;KOM
61176;1224638;Product 1224638;1000.00;KOM
61177;10009915;Product 10009915;1000.00;KOM
61178;10010065;Product 10010065;1000.00;KOM
61179;10010068;Product 10010068;1000.00;KOM
61180;1224620;Product 1224620;1000.00;KOM
61181;10009917;Product 10009917;1000.00;KOM
61182;1224611;Product 1224611;1000.00;KOM
61183;10009914;Product 10009914;1000.00;KOM
61184;1224603;Product 1224603;1000.00;KOM
61185;10009913;Product 10009913;1000.00;KOM
61186;10010047;Product 10010047;1000.00;KOM
61187;10010046;Product 10010046;1000.00;KOM
61188;10009974;Product 10009974;1000.00;KOM
61189;10010097;Product 10010097;1000.00;KOM
61190;10009970;Product 10009970;1000.00;KOM
61191;10010091;Product 10010091;1000.00;KOM
61192;1901125;Product 1901125;1000.00;KOM
61193;1901630;Product 1901630;1000.00;KOM
61194;10010194;Product 10010194;1000.00;KOM
61195;1903900;Product 1903900;1000.00;KOM
61196;10010193;Product 10010193;1000.00;KOM
61197;10009988;Product 10009988;1000.00;KOM
61198;1904957;Product 1904957;1000.00;KOM
61199;10009967;Product 10009967;1000.00;KOM
61200;1903918;Product 1903918;1000.00;KOM
61201;10010359;Product 10010359;1000.00;KOM
61202;1903951;Product 1903951;1000.00;KOM
61203;1904591;Product 1904591;1000.00;KOM
61204;1904574;Product 1904574;1000.00;KOM
61205;1903934;Product 1903934;1000.00;KOM
61206;1903942;Product 1903942;1000.00;KOM
61207;1902202;Product 1902202;1000.00;KOM
61208;1904582;Product 1904582;1000.00;KOM
61209;1902211;Product 1902211;1000.00;KOM
61210;10010390;Product 10010390;1000.00;KOM
61211;1904400;Product 1904400;1000.00;KOM
61212;1904442;Product 1904442;1000.00;KOM
61213;1904434;Product 1904434;1000.00;KOM
61214;1904451;Product 1904451;1000.00;KOM
61215;1904426;Product 1904426;1000.00;KOM
61216;1904396;Product 1904396;1000.00;KOM
61217;1904418;Product 1904418;1000.00;KOM
61218;10009950;Product 10009950;1000.00;KOM
61219;10009949;Product 10009949;1000.00;KOM
61220;10009965;Product 10009965;1000.00;KOM
61221;10009893;Product 10009893;1000.00;KOM
61222;10009895;Product 10009895;1000.00;KOM
