BOMS_ID;PRDCT;CMPNT;CMPNT_DSCR;CMPNT_BRTT_QTY;CMPNT_BRTT_QTY_UNT
791955;855027;602201;Component 602201;7.14;KG
791956;855027;610162;Component 610162;20.40;KG
791957;855027;610228;Component 610228;40.80;KG
791958;855027;610443;Component 610443;2.04;KG
791959;855027;630256;Component 630256;61.20;KG
791960;855027;631041;Component 631041;6.17;KG
791961;855027;638456;Component 638456;3.06;KG
791962;855027;644805;Component 644805;51.00;KG
791963;855027;645076;Component 645076;10.20;KG
791964;855027;645614;Component 645614;183.60;KG
791965;855027;645697;Component 645697;0.51;KG
791966;855027;648425;Component 648425;5.10;KG
791967;855027;648639;Component 648639;51.00;KG
791968;855027;660247;Component 660247;51.00;KG
791969;855027;684651;Component 684651;1.02;KG
791970;855027;685694;Component 685694;10.20;KG
791971;855027;99002050;Component 99002050;515.55;L
791972;855036;605011;Component 605011;6.12;KG
791973;855036;608636;Component 608636;0.51;KG
791974;855036;610262;Component 610262;46.10;KG
791975;855036;610443;Component 610443;10.20;KG
791976;855036;645006;Component 645006;10.20;KG
791977;855036;645685;Component 645685;5.10;KG
791978;855036;660048;Component 660048;153.00;KG
791979;855036;695090;Component 695090;3.0e-03;KG
791980;855036;695160;Component 695160;2.85;KG
791981;855036;695187;Component 695187;40.80;KG
791982;855036;99002050;Component 99002050;745.10;L
791983;855041;607274;Component 607274;0.10;KG
791984;855041;609206;Component 609206;10.20;KG
791985;855041;634056;Component 634056;0.20;KG
791986;855041;638608;Component 638608;2.04;KG
791987;855041;645007;Component 645007;6.12;KG
791988;855041;645678;Component 645678;8.16;KG
791989;855041;645681;Component 645681;30.60;KG
791990;855041;695160;Component 695160;0.30;KG
791991;855041;99002050;Component 99002050;962.26;L
791992;855042;605218;Component 605218;5.10;KG
791993;855042;607128;Component 607128;0.20;KG
791994;855042;608636;Component 608636;3.06;KG
791995;855042;610174;Component 610174;5.10;KG
791996;855042;610186;Component 610186;7.14;KG
791997;855042;610443;Component 610443;5.71;KG
791998;855042;630256;Component 630256;51.00;KG
791999;855042;634668;Component 634668;5.10;KG
792000;855042;645016;Component 645016;20.40;KG
792001;855042;645088;Component 645088;20.40;KG
792002;855042;645501;Component 645501;102.00;KG
792003;855042;645697;Component 645697;0.51;KG
792004;855042;648668;Component 648668;71.40;KG
792005;855042;648695;Component 648695;5.10;KG
792006;855042;660247;Component 660247;51.00;KG
792007;855042;685037;Component 685037;51.00;KG
792008;855042;685621;Component 685621;30.60;KG
792009;855042;695159;Component 695159;3.06;KG
