ORDRS_ID;ORDR;ORDR_TYPE;ORDR_ACTV;PRDCT;PRDCT_DSCR;PRDCT_TARG_QTY;PRDCT_TARG_QTY_UNT;ORDR_PLAN_STRT;ORDR_PLAN_FNSH;PRDCT_CONF_QTY;PRDCT_DELV_QTY;ORDR_CRTD;ORDR_RLSD;ORDR_ACTL_STRT;ORDR_ACTL_FNSH;ORDR_STTS;ORDR_CONF_FNL;ORDR_CONF_PRT;ORDR_PRTY
42147;6214856;LA;0;1903608;Product 1903608;8650.00;KOM;2008-11-3 0:00:00;2008-11-3 0:00:00;0.00;0.00;2008-10-31 0:00:00;2008-10-31 0:00:00;2008-11-18 0:00:00;2008-11-18 0:00:00;;0;0;999
42148;6214849;LA;0;1904124;Product 1904124;3190.00;KOM;2008-11-3 0:00:00;2008-11-3 0:00:00;0.00;0.00;2008-10-31 0:00:00;2008-10-31 0:00:00;2008-11-18 0:00:00;2008-11-18 0:00:00;;0;0;999
42149;6214882;LA;0;1904256;Product 1904256;23200.00;KOM;2008-11-3 0:00:00;2008-11-3 0:00:00;0.00;0.00;2008-10-31 0:00:00;2008-10-31 0:00:00;2008-11-18 0:00:00;2008-11-18 0:00:00;;0;0;999
42150;6214861;LA;0;10010043;Product 10010043;129500.00;KOM;2008-11-3 0:00:00;2008-11-3 0:00:00;0.00;0.00;2008-10-31 0:00:00;2008-10-31 0:00:00;2008-11-18 0:00:00;2008-11-18 0:00:00;;0;0;999
42151;6214830;LA;0;10010151;Product 10010151;20900.00;KOM;2008-11-3 0:00:00;2008-11-3 0:00:00;0.00;0.00;2008-10-31 0:00:00;2008-10-31 0:00:00;2008-11-18 0:00:00;2008-11-18 0:00:00;;0;0;999
42152;6214885;LA;0;10010152;Product 10010152;23400.00;KOM;2008-11-3 0:00:00;2008-11-3 0:00:00;0.00;0.00;2008-10-31 0:00:00;2008-10-31 0:00:00;2008-11-18 0:00:00;2008-11-18 0:00:00;;0;0;999
42153;6214831;LA;0;10010208;Product 10010208;20700.00;KOM;2008-11-3 0:00:00;2008-11-3 0:00:00;0.00;0.00;2008-10-31 0:00:00;2008-10-31 0:00:00;2008-11-18 0:00:00;2008-11-18 0:00:00;;0;0;999
42154;6214862;LA;0;10010223;Product 10010223;20000.00;KOM;2008-11-3 0:00:00;2008-11-3 0:00:00;0.00;0.00;2008-10-31 0:00:00;2008-10-31 0:00:00;2008-11-18 0:00:00;2008-11-18 0:00:00;;0;0;999
42155;6214827;LA;0;10010302;Product 10010302;34870.00;KOM;2008-11-3 0:00:00;2008-11-3 0:00:00;0.00;0.00;2008-10-31 0:00:00;2008-10-31 0:00:00;2008-11-18 0:00:00;2008-11-18 0:00:00;;0;0;999
42156;6214865;LA;0;10010371;Product 10010371;21060.00;KOM;2008-11-3 0:00:00;2008-11-3 0:00:00;0.00;0.00;2008-10-31 0:00:00;2008-10-31 0:00:00;2008-11-18 0:00:00;2008-11-18 0:00:00;;0;0;999
