BOMS_ID;PRDCT;CMPNT;CMPNT_DSCR;CMPNT_BRTT_QTY;CMPNT_BRTT_QTY_UNT
924169;855027;645076;Component  645076;10.2;KG
924170;855027;645614;Component  645614;183.6;KG
924171;855027;645697;Component  645697;0.51;KG
924172;855027;648425;Component  648425;5.1;KG
924173;855027;648639;Component  648639;51;KG
924174;855027;660247;Component  660247;51;KG
924175;855027;684651;Component  684651;1.02;KG
924176;855027;685694;Component  685694;10.2;KG
924177;855027;99002050;Component  99002050;515.559;L
924178;855036;605011;Component  605011;6.12;KG
924179;855036;608636;Component  608636;0.51;KG
924180;855036;610262;Component  610262;46.104;KG
924181;855036;610443;Component  610443;10.2;KG
924182;855036;645006;Component  645006;10.2;KG
924183;855036;645685;Component  645685;5.1;KG
924184;855036;660048;Component  660048;153;KG
924185;855036;695090;Component  695090;0.003;KG
924186;855036;695160;Component  695160;2.856;KG
924187;855036;695187;Component  695187;40.8;KG
924188;855036;99002050;Component  99002050;745.107;L
924189;855041;607274;Component  607274;0.102;KG
924190;855041;609206;Component  609206;10.2;KG
924191;855041;634056;Component  634056;0.204;KG
924192;855041;638608;Component  638608;2.04;KG
924193;855041;645007;Component  645007;6.12;KG
924194;855041;645678;Component  645678;8.16;KG
924195;855041;645681;Component  645681;30.6;KG
924196;855041;695160;Component  695160;0.306;KG
924197;855041;99002050;Component  99002050;962.268;L
924198;855042;605218;Component  605218;5.1;KG
924199;855042;607128;Component  607128;0.204;KG
924200;855042;608636;Component  608636;3.06;KG
924201;855042;610174;Component  610174;5.1;KG
924202;855042;610186;Component  610186;7.14;KG
924203;855042;610443;Component  610443;5.712;KG
924204;855042;630256;Component  630256;51;KG
924205;855042;634668;Component  634668;5.1;KG
924206;855042;645016;Component  645016;20.4;KG
924207;855042;645088;Component  645088;20.4;KG
924208;855042;645501;Component  645501;102;KG
924209;855042;645697;Component  645697;0.51;KG
924210;855042;648668;Component  648668;71.4;KG
924211;855042;648695;Component  648695;5.1;KG
924212;855042;660247;Component  660247;51;KG
924213;855042;685037;Component  685037;51;KG
924214;855042;685621;Component  685621;30.6;KG
924215;855042;695159;Component  695159;3.06;KG
924216;855042;99002050;Component  99002050;582.114;L
924217;855049;602066;Component  602066;3.57;KG
924218;855049;607350;Component  607350;2.55;KG
924219;855049;610167;Component  610167;10.2;KG
924220;855049;644262;Component  644262;2.04;KG
924221;855049;633870;Component  633870;10.2;KG
924222;855049;645026;Component  645026;3.57;KG
924223;855049;648000;Component  648000;3.06;KG
924224;855049;685648;Component  685648;25.5;KG
924225;855049;695007;Component  695007;183.6;KG
924226;855049;695039;Component  695039;1.02;KG
924227;855049;695137;Component  695137;5.1;KG
924228;855049;695180;Component  695180;70.584;KG
924229;855049;99002050;Component  99002050;699.006;L
924230;855090;607656;Component  607656;2.55;KG
924231;855090;638608;Component  638608;1.02;KG
924232;855090;645000;Component  645000;51;KG
924233;855090;645006;Component  645006;15.3;KG
924234;855090;648001;Component  648001;0.51;KG
924235;855090;648601;Component  648601;1.02;KG
924236;855090;660048;Component  660048;163.2;KG
924237;855090;685696;Component  685696;1.53;KG
924238;855090;99002050;Component  99002050;783.87;L
924239;855091;607350;Component  607350;3.162;KG
924240;855091;632781;Component  632781;10.2;KG
924241;855091;634668;Component  634668;10.2;KG
924242;855091;641735;Component  641735;10.2;KG
924243;855091;645025;Component  645025;61.2;KG
924244;855091;648001;Component  648001;1.02;KG
924245;855091;648602;Component  648602;10.2;KG
924246;855091;695007;Component  695007;183.6;KG
924247;855091;695015;Component  695015;204;KG
924248;855091;695016;Component  695016;25.5;KG
924249;855091;99002050;Component  99002050;500.718;L
924250;855093;606274;Component  606274;26;KG
924251;855093;606734;Component  606734;72.8;KG
924252;855093;619084;Component  619084;182;KG
924253;855093;627956;Component  627956;15.6;KG
924254;855093;627969;Component  627969;15.6;KG
924255;855093;627994;Component  627994;4.16;KG
924256;855093;695195;Component  695195;0.51;KG
924257;855093;645401;Component  645401;5.1;KG
924258;855093;645611;Component  645611;344.25;KG
924259;855093;648001;Component  648001;3.06;KG
924260;855093;695146;Component  695146;357;KG
924261;855094;607350;Component  607350;0.612;KG
924262;855094;633675;Component  633675;81.6;KG
924263;855094;634668;Component  634668;6.12;KG
924264;855094;648001;Component  648001;1.02;KG
924265;855094;648601;Component  648601;2.04;KG
924266;855094;648696;Component  648696;81.6;KG
924267;855094;660247;Component  660247;30.6;KG
924268;855094;684611;Component  684611;10.2;KG
924269;855094;684687;Component  684687;30.6;KG
924270;855094;99002050;Component  99002050;775.608;L
924271;855095;605447;Component  605447;0.816;KG
924272;855095;607656;Component  607656;3.06;KG
924273;855095;608636;Component  608636;2.04;KG
924274;855095;610174;Component  610174;30.6;KG
924275;855095;610228;Component  610228;51;KG
924276;855095;630256;Component  630256;71.4;KG
924277;855095;634697;Component  634697;1.02;KG
924278;855095;638608;Component  638608;2.04;KG
924279;855095;645050;Component  645050;61.2;KG
924280;855095;645670;Component  645670;8.16;KG
924281;855095;648001;Component  648001;1.02;KG
924282;855095;648601;Component  648601;2.04;KG
924283;855095;99002050;Component  99002050;785.604;L
924284;855150;608288;Component  608288;20.4;KG
924285;855150;615202;Component  615202;510;KG
924286;855150;636658;Component  636658;8;PCS
924287;855150;660048;Component  660048;489.6;KG
924288;855456;602066;Component  602066;1.163;KG
924289;855456;607359;Component  607359;0.673;KG
924290;855456;629004;Component  629004;1.02;G
924291;855456;634056;Component  634056;0.204;KG
924292;855456;634084;Component  634084;61.2;KG
924293;855456;648427;Component  648427;4.08;KG
924294;855456;648647;Component  648647;7.14;KG
924295;855456;685648;Component  685648;15.3;KG
924296;855456;685678;Component  685678;285.6;KG
924297;855456;695007;Component  695007;73.44;KG
924298;855456;99002050;Component  99002050;571.199;L
924299;855457;602066;Component  602066;14.28;KG
924300;855457;607359;Component  607359;0.163;KG
924301;855457;618081;Component  618081;3.315;KG
924302;855457;634056;Component  634056;0.204;KG
924303;855457;634084;Component  634084;56.1;KG
924304;855457;634691;Component  634691;25.5;KG
924305;855457;648427;Component  648427;2.04;KG
924306;855457;685622;Component  685622;71.4;KG
924307;855457;685678;Component  685678;224.4;KG
924308;855457;695137;Component  695137;3.06;KG
924309;855457;99002050;Component  99002050;619.538;L
924310;855468;602066;Component  602066;9.69;KG
924311;855468;607359;Component  607359;0.918;KG
924312;855468;634056;Component  634056;0.204;KG
924313;855468;634084;Component  634084;51;KG
924314;855468;648095;Component  648095;5.1;KG
924315;855468;648203;Component  648203;30.6;KG
924316;855468;685008;Component  685008;4.08;KG
924317;855468;685627;Component  685627;40.8;KG
924318;855468;685646;Component  685646;204;KG
924319;855468;685648;Component  685648;13.26;KG
924320;855468;685678;Component  685678;204;KG
924321;855468;685680;Component  685680;10.2;KG
924322;855468;99002050;Component  99002050;446.148;L
924323;855714;605011;Component  605011;2.75;KG
924324;855714;608636;Component  608636;1.02;KG
924325;855714;610262;Component  610262;5.1;KG
924326;855714;610753;Component  610753;1.02;KG
924327;855714;632605;Component  632605;6.12;KG
924328;855714;636658;Component  636658;4;PCS
924329;855714;648050;Component  648050;20.4;KG
924330;855714;660048;Component  660048;699.26;KG
924331;855714;99002050;Component  99002050;284.3;L
924332;855715;602903;Component  602903;9.69;KG
924333;855715;605429;Component  605429;81.09;KG
924334;855715;607266;Component  607266;196.86;KG
924335;855715;609600;Component  609600;2.04;KG
924336;855715;610262;Component  610262;67.524;KG
924337;855715;633368;Component  633368;14.484;KG
924338;855715;634615;Component  634615;14.484;KG
924339;855715;645603;Component  645603;28.968;KG
924340;855715;648067;Component  648067;4.692;KG
924341;855715;684644;Component  684644;96.492;KG
924342;855715;684646;Component  684646;61.812;KG
924343;855715;684680;Component  684680;14.484;KG
924344;855715;99002050;Component  99002050;427.38;L
924345;855733;605011;Component  605011;2.75;KG
924346;855733;608636;Component  608636;1.02;KG
924347;855733;610262;Component  610262;5.1;KG
924348;855733;610753;Component  610753;1.02;KG
924349;855733;636658;Component  636658;7.5;PCS
924350;855733;648456;Component  648456;20.4;KG
924351;855733;660048;Component  660048;699.26;KG
924352;855733;99002050;Component  99002050;290.4;L
924353;855786;602066;Component  602066;1.02;KG
924354;855786;605444;Component  605444;1.02;KG
924355;855786;608631;Component  608631;2.04;KG
924356;855786;610262;Component  610262;335.75;KG
924357;855786;612041;Component  612041;2.04;KG
924358;855786;619084;Component  619084;5.1;KG
924359;855786;629402;Component  629402;5.1;G
924360;855786;633102;Component  633102;15.3;KG
924361;855786;633125;Component  633125;10.2;KG
924362;855786;660247;Component  660247;122.4;KG
924363;855786;684603;Component  684603;7.752;KG
924364;855786;695033;Component  695033;16.32;KG
924365;855786;695034;Component  695034;9.69;KG
924366;855786;629004;Component  629004;3.06;G
924367;855786;645689;Component  645689;81.6;KG
924368;855786;645690;Component  645690;107.1;KG
924369;855786;99002050;Component  99002050;302.66;L
924370;855787;602173;Component  602173;2.448;KG
924371;855787;605444;Component  605444;0.816;KG
924372;855787;608631;Component  608631;1.53;KG
924373;855787;610210;Component  610210;30.6;KG
924374;855787;610262;Component  610262;357;KG
924375;855787;612041;Component  612041;2.04;KG
924376;855787;619084;Component  619084;7.65;KG
924377;855787;638608;Component  638608;3.06;KG
924378;855787;644107;Component  644107;12.24;KG
924379;855787;660247;Component  660247;153;KG
924380;855787;695033;Component  695033;20.4;KG
924381;855787;695034;Component  695034;6.834;KG
924382;855787;695157;Component  695157;173.4;KG
924383;855787;695158;Component  695158;51;KG
924384;855787;99002050;Component  99002050;197.982;L
924385;855788;602173;Component  602173;2.448;KG
924386;855788;605444;Component  605444;0.816;KG
924387;855788;608631;Component  608631;1.53;KG
924388;855788;610210;Component  610210;30.6;KG
924389;855788;610262;Component  610262;357;KG
924390;855788;612041;Component  612041;2.04;KG
924391;855788;619084;Component  619084;7.65;KG
924392;855788;648040;Component  648040;10.2;KG
924393;855788;660247;Component  660247;153;KG
924394;855788;695033;Component  695033;20.4;KG
924395;855788;695034;Component  695034;7.14;KG
924396;855788;645689;Component  645689;173.4;KG
924397;855788;645690;Component  645690;51;KG
924398;855788;99002050;Component  99002050;202.776;L
924399;855789;602173;Component  602173;2.448;KG
924400;855789;605444;Component  605444;0.816;KG
924401;855789;608631;Component  608631;1.53;KG
924402;855789;610210;Component  610210;30.6;KG
924403;855789;610262;Component  610262;357;KG
924404;855789;612041;Component  612041;2.55;KG
924405;855789;619084;Component  619084;7.65;KG
924406;855789;629402;Component  629402;7.14;G
924407;855789;648601;Component  648601;2.04;KG
924408;855789;660247;Component  660247;153;KG
924409;855789;695001;Component  695001;15.3;KG
