ORDRS_ID;ORDR;ORDR_TYPE;ORDR_ACTV;PRDCT;PRDCT_DSCR;PRDCT_TARG_QTY;PRDCT_TARG_QTY_UNT;ORDR_PLAN_STRT;ORDR_PLAN_FNSH;PRDCT_CONF_QTY;PRDCT_DELV_QTY;ORDR_CRTD;ORDR_RLSD;ORDR_ACTL_STRT;ORDR_ACTL_FNSH;ORDR_STTS;ORDR_CONF_FNL;ORDR_CONF_PRT;ORDR_PRTY
50021;6247689;LA;0;10010339;Product  10010339;19500;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50022;6247858;LA;0;10010340;Product  10010340;17000;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50023;6247863;LA;0;10010308;Product  10010308;8300;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50024;6248009;LA;0;10010339;Product  10010339;9750;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50025;6248594;LA;0;10010313;Product  10010313;7920;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50026;6247690;LA;0;10010357;Product  10010357;12870;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50027;6247868;LA;0;10010348;Product  10010348;14500;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50028;6248010;LA;0;10010357;Product  10010357;12870;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50029;6248876;LA;0;10010352;Product  10010352;300;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50030;6247865;LA;0;10010427;Product  10010427;15000;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50031;6248630;LA;0;10010456;Product  10010456;9860;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50032;6248631;LA;0;10010462;Product  10010462;4830;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50033;6247833;LA;0;10010490;Product  10010490;43180;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50034;6247850;LA;0;10010491;Product  10010491;50580;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50035;6248011;LA;0;10010490;Product  10010490;21590;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50036;6247849;LA;0;10010492;Product  10010492;92380;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50037;6247923;LA;0;10010493;Product  10010493;36450;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
50038;6248708;LA;0;10010522;Product  10010522;40800;PCS;1.6.2009;1.6.2009;0;0;14.5.2009;14.5.2009;11.5.2009;14.5.2009;;0;0;999
